번호,지역,상호,주소,기간,상표,셀프여부,휘발유,경유,year,month,week,high_class
A0000074,서울 도봉구,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),2019년 01월 5주,S-OIL,셀프,1399.0,1299.0,2019,1,5,N
A0000074,서울 도봉구,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),2019년 02월 1주,S-OIL,셀프,1399.0,1299.0,2019,2,1,N
A0000074,서울 도봉구,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),2019년 02월 2주,S-OIL,셀프,1399.0,1299.0,2019,2,2,N
A0000074,서울 도봉구,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),2019년 02월 3주,S-OIL,셀프,1399.0,1299.0,2019,2,3,N
A0000074,서울 도봉구,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),2019년 02월 4주,S-OIL,셀프,1399.0,1299.0,2019,2,4,N
A0000074,서울 도봉구,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),2019년 03월 1주,S-OIL,셀프,1416.14,1316.14,2019,3,1,N
A0000074,서울 도봉구,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),2019년 03월 2주,S-OIL,셀프,1429.0,1329.0,2019,3,2,N
A0000074,서울 도봉구,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),2019년 03월 3주,S-OIL,셀프,1429.0,1329.0,2019,3,3,N
A0000074,서울 도봉구,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),2019년 03월 4주,S-OIL,셀프,1450.43,1350.43,2019,3,4,N
A0000086,서울 성동구,경진주유소,서울 성동구 고산자로 348 (마장동),2019년 01월 1주,SK에너지,일반,1443.71,1336.57,2019,1,1,N
A0000086,서울 성동구,경진주유소,서울 성동구 고산자로 348 (마장동),2019년 01월 2주,SK에너지,일반,1398.0,1298.0,2019,1,2,N
A0000086,서울 성동구,경진주유소,서울 성동구 고산자로 348 (마장동),2019년 01월 3주,SK에너지,일반,1406.57,1309.43,2019,1,3,N
A0000086,서울 성동구,경진주유소,서울 성동구 고산자로 348 (마장동),2019년 01월 4주,SK에너지,일반,1390.86,1292.29,2019,1,4,N
A0000086,서울 성동구,경진주유소,서울 성동구 고산자로 348 (마장동),2019년 01월 5주,SK에너지,일반,1388.0,1288.0,2019,1,5,N
A0000086,서울 성동구,경진주유소,서울 성동구 고산자로 348 (마장동),2019년 02월 1주,SK에너지,일반,1388.0,1289.43,2019,2,1,N
A0000086,서울 성동구,경진주유소,서울 성동구 고산자로 348 (마장동),2019년 02월 2주,SK에너지,일반,1388.0,1288.0,2019,2,2,N
